date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:24	21007/21007	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/register.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/register.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:24	189310/189310	---M--	200	added ('OK')	image/jpeg	etag:%225d22f83a-2e37e%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/sidebar-1.jpg	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/sidebar-1.jpg	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:25	16391/16391	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/lock.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/lock.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:26	35459/35459	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/user.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/user.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:27	50494/50494	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/buttons.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/buttons.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:28	40353/40353	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/grid.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/grid.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:28	47732/47732	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/panels.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/panels.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:28	33286/33286	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/sweet-alert.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/sweet-alert.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:28	43284/43284	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/notifications.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/notifications.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:29	30670/30670	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/icons.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/icons.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
